ID_Atividade;Versão;ID_Projeto;Código_Projeto;Código_Projeto:Código_Projeto;Descrição_Atividade;Conclusão_Atividade;Gestor_Atividade;Data_Início;Data_Fim;Duração_Atividades;Documentos_Associados;Código_Projeto:ID;Código_Projeto:ID_Projeto;Tipo_Atividade;Modificado;Modificado por;Evento_IntervençãoCOM
AT/002/PR/009/2022;8.0;Laboratório Colaborativo de Prospetiva – LAB2050.PT;7;PR/009/2022;2º encontro de reflexão prospetiva;Sim;;01/10/2022;31/10/2022;30;0;7;Laboratório colaborativo de prospetiva – LAB2050.PT;Evento;26/10/2023 02:20;Fronika de Wit;False
AT/002/PR/011/2022;8.0;Identidade corporativa PlanAPP;5;PR/011/2022;Licença E-goi Digital Solution;Sim;Manuel Esteves;14/03/2022;31/12/2024;1 023;0;5;Identidade corporativa PlanAPP;Entregável;12/10/2023 03:01;João Pinto Dutra;False
AT/003/PR/001/2018;7.0;SAMA CRIA;14;PR/001/2018;Revisão da metodologia de RIA sobre as pessoas;Sim;Manuel Cabugueira;01/01/2019;30/06/2019;180;0;14;SAMA CRIA;Atividade;12/10/2023 02:16;João Pinto Dutra;False
AT/003/PR/001/2019;7.0;SAMA IA2AI;15;PR/001/2019;Implementação do(s) modelo(s) de análise e processamento (ciência dos dados e inteligência artificial);Sim;Manuel Cabugueira;01/01/2020;30/06/2022;911;0;15;IA2AI;Atividade;12/10/2023 02:16;João Pinto Dutra;False
AT/003/PR/002/2022;9.0;Plano de formação 2022;11;PR/002/2022;Elaboração Oferta Formativa junto à OIT (fora do Plano);Sim;Manuel Esteves;01/04/2022;31/05/2022;60;0;11;Plano de formação 2022;Atividade;12/10/2023 02:24;João Pinto Dutra;False
AT/003/PR/005/2022;11.0;Reflexão estratégica - OCDE;13;PR/005/2022;"Conferência de Lançamento ""Pensar a Governança Pública""";Sim;Maria Fernandes;18/05/2022;18/05/2022;0;0;13;Reflexão estratégica - OCDE;Evento;12/10/2023 02:38;João Pinto Dutra;False
AT/003/PR/006/2022;12.0;Modelos regionais de input-output e multiplicadores para todas as regiões NUTS II;6;PR/006/2022;Apresentação da estrutura do relatório de comércio inter-regional à Comissão de Acompanhamento;Sim;;01/10/2022;30/12/2022;90;0;6;Ferramenta de Análise de impactos económicos à escala regional;Entregável;27/10/2023 06:33;Gonçalo Marçal;False
AT/003/PR/007/2022;7.0;Custos da parentalidade;30;PR/007/2022;Custos da parentalidade com base nos gastos efetivos no Inquérito às Despesas Familiares;Sim;;01/06/2022;30/06/2022;29;0;30;Custos da Parentalidade;Atividade;12/10/2023 02:51;João Pinto Dutra;False
AT/003/PR/009/2022;9.0;Laboratório Colaborativo de Prospetiva – LAB2050.PT;7;PR/009/2022;Aquisição de ecrãs interativos;Sim;Luís Baltazar;01/11/2022;30/11/2022;29;0;7;Laboratório colaborativo de prospetiva – LAB2050.PT;Entregável;26/10/2023 02:20;Fronika de Wit;False
AT/004/PR/001/2018;7.0;SAMA CRIA;14;PR/001/2018;Implementação do modelo de RIA sobre a AP;Sim;Manuel Cabugueira;01/01/2019;30/06/2019;180;0;14;SAMA CRIA;Atividade;12/10/2023 02:16;João Pinto Dutra;False
AT/004/PR/001/2019;7.0;SAMA IA2AI;15;PR/001/2019;Prototipagem do sistema de implementação do(s) modelo(s);Sim;Manuel Cabugueira;04/01/2020;30/06/2021;543;0;15;IA2AI;Marco;12/10/2023 02:17;João Pinto Dutra;False
AT/004/PR/005/2022;12.0;Reflexão estratégica - OCDE;13;PR/005/2022;Módulo 2 - Elaboração e envio do Key Issues Paper à OCDE;Sim;Maria Fernandes;01/04/2022;31/05/2022;60;0;13;Reflexão estratégica - OCDE;Atividade;12/10/2023 02:38;João Pinto Dutra;False
AT/004/PR/006/2022;9.0;Modelos regionais de input-output e multiplicadores para todas as regiões NUTS II;6;PR/006/2022;Entrega do Relatório de Comércio Inter-regional;Sim;;02/01/2023;31/03/2023;88;0;6;Ferramenta de Análise de impactos económicos à escala regional;Entregável;27/10/2023 06:36;Gonçalo Marçal;False
AT/004/PR/007/2022;6.0;Custos da parentalidade;30;PR/007/2022;Custos da parentalidade com base no cabaz de bens ou orçamento para atingir determinado nível de bem-estar;Sim;;01/06/2022;30/06/2022;29;0;30;Custos da Parentalidade;Atividade;12/10/2023 02:51;João Pinto Dutra;False
AT/004/PR/009/2022;8.0;Laboratório Colaborativo de Prospetiva – LAB2050.PT;7;PR/009/2022;Cartão de Missão Lab2050;Sim;;01/12/2022;31/12/2022;30;0;7;Laboratório colaborativo de prospetiva – LAB2050.PT;Entregável;26/10/2023 02:20;Fronika de Wit;False
AT/004/PR/011/2022;8.0;Identidade corporativa PlanAPP;5;PR/011/2022;recolha de imagens para o website PlanAPP;Sim;Manuel Esteves;14/03/2022;31/12/2022;292;0;5;Identidade corporativa PlanAPP;Atividade;12/10/2023 03:01;João Pinto Dutra;False
AT/005/PR/001/2018;8.0;SAMA CRIA;14;PR/001/2018;Revisão da metodologia de RIA sobre as AP;Sim;Manuel Cabugueira;01/01/2019;30/06/2019;180;0;14;SAMA CRIA;Atividade;12/10/2023 02:16;João Pinto Dutra;False
AT/005/PR/001/2019;7.0;SAMA IA2AI;15;PR/001/2019;Testes de funcionalidade do protótipo;Sim;Manuel Cabugueira;04/01/2020;30/06/2021;543;0;15;IA2AI;Atividade;12/10/2023 02:17;João Pinto Dutra;False
AT/005/PR/005/2022;11.0;Reflexão estratégica - OCDE;13;PR/005/2022;Módulo 3 - Output 1 A - Reunião Bilateral com Espanha;Sim;Maria Fernandes;07/06/2022;07/06/2023;365;0;13;Reflexão estratégica - OCDE;Evento;12/10/2023 02:37;João Pinto Dutra;False
AT/005/PR/007/2022;6.0;Custos da parentalidade;30;PR/007/2022;Custos da parentalidade na perspetiva dos atores sociais: grupos focais;Sim;;01/06/2022;30/06/2022;29;0;30;Custos da Parentalidade;Atividade;12/10/2023 02:52;João Pinto Dutra;False
AT/005/PR/009/2022;8.0;Laboratório Colaborativo de Prospetiva – LAB2050.PT;7;PR/009/2022;Programa de ação Lab2050;Sim;;01/01/2023;30/06/2023;180;0;7;Laboratório colaborativo de prospetiva – LAB2050.PT;Atividade;26/10/2023 02:21;Fronika de Wit;False
AT/005/PR/011/2022;9.0;Identidade corporativa PlanAPP;5;PR/011/2022;Tradução website PlanAPP toda a estrutura do website, notícias, projetos, etc.;Sim;Manuel Esteves;14/03/2022;31/12/2024;1 023;0;5;Identidade corporativa PlanAPP;Entregável;12/10/2023 03:02;João Pinto Dutra;False
AT/006/PR/001/2018;7.0;SAMA CRIA;14;PR/001/2018;Desenvolvimento do modelo de avaliação C&B;Sim;Manuel Cabugueira;30/06/2019;31/12/2020;550;0;14;SAMA CRIA;Entregável;12/10/2023 02:16;João Pinto Dutra;False
AT/006/PR/001/2019;8.0;SAMA IA2AI;15;PR/001/2019;Implementação do(s) modelo(s) em ambiente real (Fase B);Sim;Manuel Cabugueira;01/04/2021;21/09/2021;173;0;15;IA2AI;Atividade;12/10/2023 02:16;João Pinto Dutra;False
AT/006/PR/005/2022;11.0;Reflexão estratégica - OCDE;13;PR/005/2022;Módulo 3 - Output 1 B -  Reunião Bilateral com a Lituânia;Sim;Maria Fernandes;14/06/2022;14/06/2022;0;0;13;Reflexão estratégica - OCDE;Evento;12/10/2023 02:37;João Pinto Dutra;False
AT/006/PR/007/2022;6.0;Custos da parentalidade;30;PR/007/2022;Desenvolvimento, produção e divulgação de conhecimento;Sim;;01/06/2022;30/06/2022;29;0;30;Custos da Parentalidade;Atividade;12/10/2023 02:48;João Pinto Dutra;False
AT/006/PR/009/2022;9.0;Laboratório Colaborativo de Prospetiva – LAB2050.PT;7;PR/009/2022;Lançamento da plataforma web Lab2050.pt;Sim;José Vítor Malheiros;01/09/2022;30/06/2023;302;0;7;Laboratório colaborativo de prospetiva – LAB2050.PT;Entregável;26/10/2023 02:21;Fronika de Wit;False
AT/006/PR/011/2022;9.0;Identidade corporativa PlanAPP;5;PR/011/2022;Painel de azulejos valores PlanAPP - Montagem e transporte;Sim;Manuel Esteves;14/03/2022;30/12/2022;291;0;5;Identidade corporativa PlanAPP;Entregável;12/10/2023 03:01;João Pinto Dutra;False
AT/007/PR/001/2018;7.0;SAMA CRIA;14;PR/001/2018;Conceção e produção/aquisição de materiais para promoção e divulgação;Sim;Manuel Cabugueira;30/06/2019;31/12/2021;915;0;14;SAMA CRIA;Entregável;12/10/2023 02:16;João Pinto Dutra;False
AT/007/PR/001/2019;7.0;SAMA IA2AI;15;PR/001/2019;Comunicação e divulgação do projeto;Sim;Manuel Cabugueira;01/01/2021;30/06/2021;180;0;15;IA2AI;Evento;12/10/2023 02:16;João Pinto Dutra;False
AT/007/PR/005/2022;10.0;Reflexão estratégica - OCDE;13;PR/005/2022;Módulo 1 - Relatório Task Force interna;Sim;Maria Fernandes;10/05/2022;05/07/2022;56;0;13;Reflexão estratégica - OCDE;Entregável;12/10/2023 02:37;João Pinto Dutra;False
AT/007/PR/011/2022;9.0;Identidade corporativa PlanAPP;5;PR/011/2022;Suportes de comunicação acessíveis;Sim;Manuel Esteves;14/03/2022;31/12/2024;1 023;0;5;Identidade corporativa PlanAPP;Entregável;12/10/2023 03:02;João Pinto Dutra;False
AT/008/PR/001/2018;7.0;SAMA CRIA;14;PR/001/2018;Implementação SI RIA;Sim;Manuel Cabugueira;30/06/2019;31/12/2022;1 280;0;14;SAMA CRIA;Entregável;12/10/2023 02:16;João Pinto Dutra;False
AT/008/PR/011/2022;8.0;Identidade corporativa PlanAPP;5;PR/011/2022;Outros suportes de comunicação;Sim;Manuel Esteves;14/03/2022;31/12/2024;1 023;0;5;Identidade corporativa PlanAPP;Entregável;12/10/2023 03:02;João Pinto Dutra;False
AT/002/PR/001/2022;11.0;Site institucional PlanAPP;17;PR/001/2022;Lançamento;Sim;Manuel Esteves;29/04/2022;29/04/2022;0;0;17;Site institucional PlanAPP;Evento;12/10/2023 02:21;João Pinto Dutra;False
AT/001/PR/007/2022;9.0;Custos da Parentalidade;30;PR/007/2022;Análise da proposta técnico-financeira;;;;;;;;;;;;
AT/002/PR/007/2022;7.0;Custos da Parentalidade;30;PR/007/2022;Análise de relatórios: metodológico, intermédio, final preliminar, final;;;;;;;;;;;;
AT/003/PR/007/2022;8.0;Custos da Parentalidade;30;PR/007/2022;Divulgação e comunicação dos resultados;Sim;;15/07/2023;30/06/2022;%23Nome?;0;30;Custos da Parentalidade;Evento;12/10/2023 02:51;João Pinto Dutra;False
AT/001/PR/043/2022;11.0;SIADAP;51;PR/043/2022;Criar a estrutura de avaliadores;Sim;Matilde Catalão;01/02/2023;28/02/2023;27;0;51;Implementação do SIADAP;Atividade;12/10/2023 04:07;João Pinto Dutra;False
AT/002/PR/043/2022;9.0;SIADAP;51;PR/043/2022;Criar e organizar o processo administrativo do ciclo avaliativo;Sim;;01/02/2023;28/02/2023;27;0;51;Implementação do SIADAP;Atividade;12/10/2023 04:07;João Pinto Dutra;False
AT/003/PR/043/2022;9.0;SIADAP;51;PR/043/2022;Definição dos critérios da ponderação curricular;Sim;;01/02/2023;28/02/2023;27;0;51;Implementação do SIADAP;Atividade;12/10/2023 04:07;João Pinto Dutra;False
AT/001/PR/048/2022;11.0;Elaboração do plano de formação;52;PR/048/2022;Plano de Prevenção de Riscos de Corrupção e Infrações Conexas;Não;Matilde Catalão;24/02/2022;30/06/2023;491;0;52;Prevenção de Riscos de Corrupção e Infrações Conexas;Entregável;12/10/2023 04:11;João Pinto Dutra;False
AT/002/PR/048/2022;10.0;Elaboração do plano de formação;52;PR/048/2022;Código de ética e conduta;Sim;;15/02/2022;18/02/2022;3;0;52;Prevenção de Riscos de Corrupção e Infrações Conexas;Entregável;12/10/2023 04:11;João Pinto Dutra;False
AT/001/PR/044/2022;11.0;Construção de percursos formativos internos;53;PR/044/2022;     Definição dos modelos de formação;Sim;Matilde Catalão;01/09/2022;30/09/2022;29;0;53;Construção de percursos formativos internos;Atividade;12/10/2023 04:08;João Pinto Dutra;False
AT/002/PR/044/2022;10.0;Construção de percursos formativos internos;53;PR/044/2022;     Desenvolvimento dos dossiers técnico-pedagócicos;Sim;Marisa Queirós;01/09/2022;30/09/2022;29;0;53;Construção de percursos formativos internos;Atividade;12/10/2023 04:08;João Pinto Dutra;False
AT/003/PR/044/2022;9.0;Construção de percursos formativos internos;53;PR/044/2022;     Definição de metodologias;Sim;;01/09/2022;30/09/2022;29;0;53;Construção de percursos formativos internos;Atividade;12/10/2023 04:08;João Pinto Dutra;False
AT/004/PR/044/2022;9.0;Construção de percursos formativos internos;53;PR/044/2022;     Construção de um software para gestão interna das formações;Sim;;01/09/2022;28/02/2023;180;0;53;Construção de percursos formativos internos;Atividade;12/10/2023 04:08;João Pinto Dutra;False
AT/001/PR/045/2022;9.0;Implementação da aplicação do PI-Online;54;PR/045/2022;     Organização da informação;Sim;Teresa Tameirão;01/02/2022;27/02/2022;26;0;54;Implementação da aplicação do PI-Online;Atividade;12/10/2023 04:09;João Pinto Dutra;False
AT/002/PR/045/2022;8.0;Implementação da aplicação do PI-Online;54;PR/045/2022;     Licenciamento da aplicação;Sim;;01/05/2022;30/05/2022;29;0;54;Implementação da aplicação do PI-Online;Marco;12/10/2023 04:09;João Pinto Dutra;False
AT/003/PR/045/2022;8.0;Implementação da aplicação do PI-Online;54;PR/045/2022;     Formação a todos os colaboradores;Sim;;15/08/2022;31/08/2022;16;0;54;Implementação da aplicação do PI-Online;Atividade;12/10/2023 04:09;João Pinto Dutra;False
AT/001/PR/046/2022;12.0;Implementação de um sistema de saúde e segurança no trabalho;55;PR/046/2022;Plano de Saúde e Segurança no Trabalho;Não;;01/02/2023;28/02/2023;27;0;55;Elaboração do plano para um sistema de saúde e segurança no trabalho;Entregável;12/10/2023 04:10;João Pinto Dutra;False
AT/001/PR/047/2022;11.0;Transparência;56;PR/047/2022;Diagnóstico de necessidades;Sim;;01/09/2022;31/01/2023;152;0;56;Elaboração do plano de formação 2023;Entregável;12/10/2023 04:11;João Pinto Dutra;False
AT/002/PR/047/2022;10.0;Transparência;56;PR/047/2022;Preparação do Plano de Formação;Não;;01/12/2022;10/02/2023;71;0;56;Elaboração do plano de formação 2023;Atividade;12/10/2023 04:11;João Pinto Dutra;False
AT/001/PR/023/2022;10.0;Estudo de sustentabilidade ADSE;29;PR/023/2022;Construção cenário base de evolução das contas da ADSE;Não;;02/10/2023;31/10/2023;29;0;29;Estudo de sustentabilidade ADSE;Atividade;12/10/2023 03:40;João Pinto Dutra;False
AT/002/PR/023/2022;9.0;Estudo de sustentabilidade ADSE;29;PR/023/2022;Caracterização da população de beneficiários;Não;;02/10/2023;31/10/2023;29;0;29;Estudo de sustentabilidade ADSE;Atividade;26/09/2023 02:50;Maria Oliveira Fernandes;False
AT/003/PR/023/2022;11.0;Estudo de sustentabilidade ADSE;29;PR/023/2022;Desenho do Projeto e definição dos Termos de Referência;Sim;;01/11/2022;30/12/2022;59;0;29;Estudo de sustentabilidade ADSE;Atividade;26/09/2023 02:55;Maria Oliveira Fernandes;False
AT/004/PR/023/2022;10.0;Estudo de sustentabilidade ADSE;29;PR/023/2022;Relatório de Enquadramento da Atividade da ADSE;Sim;;02/01/2023;31/03/2023;88;0;29;Estudo de sustentabilidade ADSE;Atividade;26/09/2023 02:52;Maria Oliveira Fernandes;False
AT/002/PR/025/2022;7.0;Planeamento Público e Democrático;31;PR/025/2022;Coordenação, coedição e publicação do livro decorrente do colóquio;Cancelado;;01/06/2022;01/06/2022;0;0;31;Planeamento Público e Democrático;Atividade;12/10/2023 04:32;João Pinto Dutra;False
AT/001/PR/025/2022;8.0;Planeamento Público e Democrático;31;PR/025/2022;Colóquio «Planeamento Público e Democrático»;Sim;;16/01/2023;17/01/2023;1;0;31;Planeamento Público e Democrático;Evento;12/10/2023 03:52;João Pinto Dutra;False
AT/001/PR/026/2022;11.0;Demografia e Políticas Públicas;34;PR/026/2022;Nota de Análise: Políticas de família;Sim;;01/03/2022;12/08/2022;164;0;34;Demografia e Políticas Públicas;Entregável;12/10/2023 03:54;João Pinto Dutra;False
AT/002/PR/026/2022;11.0;Demografia e Políticas Públicas;34;PR/026/2022;Nota de Análise: Género e Trabalho;Sim;;15/08/2022;31/12/2022;138;0;34;Demografia e Políticas Públicas;Entregável;12/10/2023 03:54;João Pinto Dutra;False
AT/003/PR/026/2022;13.0;Demografia e Políticas Públicas;34;PR/026/2022;Memorando geral e especifico do projeto (C0 e C1;;;;;;;;;;;;
AT/004/PR/026/2022;13.0;Demografia e Políticas Públicas;34;PR/026/2022;Protótipo Comunicação Dados Demorgrafia e Politicas Públicas;Sim;;15/08/2022;31/12/2022;138;0;34;Demografia e Políticas Públicas;Atividade;12/10/2023 03:53;João Pinto Dutra;False
AT/005/PR/026/2022;13.0;Demografia e Políticas Públicas;34;PR/026/2022;Nota de Análise e Dashboard: Demografia e Políticas de família;Sim;;01/03/2022;12/08/2022;164;0;34;Demografia e Políticas Públicas;Entregável;12/10/2023 03:54;João Pinto Dutra;False
AT/006/PR/026/2022;13.0;Demografia e Políticas Públicas;34;PR/026/2022;Nota Rapida: Creches;Sim;;01/10/2022;31/12/2022;91;0;34;Demografia e Políticas Públicas;Entregável;12/10/2023 03:52;João Pinto Dutra;False
AT/007/PR/026/2022;13.0;Demografia e Políticas Públicas;34;PR/026/2022;Nota Rapida: abono de familia;Sim;;01/10/2022;31/12/2022;91;0;34;Demografia e Políticas Públicas;Entregável;12/10/2023 03:52;João Pinto Dutra;False
AT/001/PR/027/2022;11.0;Monitorização de Instrumentos de Planeamento de PP;35;PR/027/2022;Criação de Template para sistematização de  Instrumentos de Planeamento em vigor;Sim;;01/02/2022;31/03/2022;58;0;35;Agenda 2030 nos Instrumentos de Planeamento ;Entregável;12/10/2023 03:55;João Pinto Dutra;False
AT/002/PR/027/2022;11.0;Monitorização de Instrumentos de Planeamento de PP;35;PR/027/2022;Criação de Matriz Tipo de Articulação e Alinhamento entre Instrumentos de Planeamento Setoriais (piloto ENCP);Sim;;01/05/2022;30/09/2022;152;0;35;Agenda 2030 nos Instrumentos de Planeamento ;Atividade;12/10/2023 03:55;João Pinto Dutra;False
AT/003/PR/027/2022;11.0;Monitorização de Instrumentos de Planeamento de PP;35;PR/027/2022;Ferramenta de acompanhamento dos Indicadores de Contexto Grandes Opções;Sim;;05/07/2022;31/12/2022;179;0;35;Agenda 2030 nos Instrumentos de Planeamento ;Entregável;12/10/2023 03:55;João Pinto Dutra;False
AT/004/PR/027/2022;10.0;Monitorização de Instrumentos de Planeamento de PP;35;PR/027/2022;Ferramenta de acompanhamento/monitorização das medidas GO VS IP;Não;;01/03/2023;30/06/2023;121;0;35;Agenda 2030 nos Instrumentos de Planeamento ;Atividade;12/10/2023 03:55;João Pinto Dutra;False
AT/001/PR/029/2022;12.0;Estudo sobre a semana de 4 dias na AP;37;PR/029/2022;Revisão da literatura e experiências internacionais sobre a Semana de 4 Dias;Sim;;22/09/2022;18/10/2022;26;0;37;Estudo sobre a organização do tempo de trabalho e estudo-piloto da semana de 4 dias na AP;Atividade;12/10/2023 03:56;João Pinto Dutra;False
AT/002/PR/029/2022;12.0;Estudo sobre a semana de 4 dias na AP;37;PR/029/2022;Elaboração do Relatório de Proposta Metodológica ;Sim;;18/10/2022;30/10/2022;12;0;37;Estudo sobre a organização do tempo de trabalho e estudo-piloto da semana de 4 dias na AP;Atividade;12/10/2023 03:56;João Pinto Dutra;False
AT/003/PR/029/2022;12.0;Estudo sobre a semana de 4 dias na AP;37;PR/029/2022;Levantamento da informação existente por organismo da AP, recorrendo ao Balanço Social e ao SIOE, e sistematização e tratamento dos dados;Sim;;30/10/2022;02/01/2023;64;0;37;Estudo sobre a organização do tempo de trabalho e estudo-piloto da semana de 4 dias na AP;Atividade;12/10/2023 03:56;João Pinto Dutra;False
AT/001/PR/033/2022;9.0;Avaliação ex-ante Simplex licenciamentos;41;PR/033/2022;Simplificação + no licenciamento ambientai;Não;;01/11/2022;28/02/2023;119;0;41;Avaliação ex-ante dos diplomas em simplificação com Simplex licenciamentos;Atividade;12/10/2023 04:00;João Pinto Dutra;False
AT/002/PR/033/2022;9.0;Avaliação ex-ante Simplex licenciamentos;41;PR/033/2022;Simplificação + no licenciamento na Habitação e ordenamento do território;Não;;01/02/2023;30/06/2023;149;0;41;Avaliação ex-ante dos diplomas em simplificação com Simplex licenciamentos;Atividade;12/10/2023 04:00;João Pinto Dutra;False
AT/003/PR/033/2022;9.0;Avaliação ex-ante Simplex licenciamentos;41;PR/033/2022;Simplificação + no licenciamento Industrial;Não;;01/02/2023;30/06/2023;149;0;41;Avaliação ex-ante dos diplomas em simplificação com Simplex licenciamentos;Atividade;12/10/2023 04:00;João Pinto Dutra;False
AT/001/PR/040/2022;10.0;Formação certificada em Modelo QUEST III;48;PR/040/2022;     Aquisição do software MatLab;Sim;;17/08/2022;09/08/2023;357;0;48;Formação certificada em Modelos Macroeconómicos de Equilíbrio Geral e Avaliação de Politicas: Modelo QUEST III;Entregável;26/10/2023 10:00;Pedro Mazeda Gil;False
AT/002/PR/040/2022;10.0;Formação certificada em Modelo QUEST III;48;PR/040/2022;     Formação dedicada à componente metodológica;Sim;;01/04/2022;31/05/2022;60;0;48;Formação certificada em Modelos Macroeconómicos de Equilíbrio Geral e Avaliação de Politicas: Modelo QUEST III;Atividade;26/10/2023 10:00;Pedro Mazeda Gil;False
AT/003/PR/040/2022;10.0;Formação certificada em Modelo QUEST III;48;PR/040/2022;Formação dedicada à implementação computacional do modelo QUEST III  em ambiente Dynare/MatLab;Não;;02/11/2023;22/12/2023;50;0;48;Formação certificada em Modelos Macroeconómicos de Equilíbrio Geral e Avaliação de Politicas: Modelo QUEST III;Atividade;26/10/2023 10:02;Pedro Mazeda Gil;False
AT/004/PR/040/2022;10.0;Formação certificada em Modelo QUEST III;48;PR/040/2022;"Simulação do modelo QUEST III com choque de inflação importada em Portugal e elaboração da Nota de Análise ""Impacto macroeconómico do choque de inflação importada"" ";Sim;;30/07/2022;11/11/2022;104;0;48;Formação certificada em Modelos Macroeconómicos de Equilíbrio Geral e Avaliação de Politicas: Modelo QUEST III;Atividade;12/10/2023 04:06;João Pinto Dutra;False
AT/001/PR/041/2022;8.0;Cooperação Técnica com o Paraguai;49;PR/041/2022;     Transferência do protótipo de Inteligência Artificial;Não;;29/08/2022;30/08/2022;1;0;49;Cooperação Técnica com o Paraguai;Marco;12/10/2023 04:06;João Pinto Dutra;False
AT/002/PR/041/2022;8.0;Cooperação Técnica com o Paraguai;49;PR/041/2022;     Apoio na implementação do prog. de melhoria regulatória;Não;;29/08/2022;01/09/2022;3;0;49;Cooperação Técnica com o Paraguai;Atividade;12/10/2023 04:06;João Pinto Dutra;False
