ID;ID_Projeto;Código_Projeto;NIIPP;Indicador_PlanoAtividade;Objetivo_Operacional_PlanoAtividade;Objetivo_Estratégico_PlanoAtividade;Entidade_Financiamento;Papel_Entidade;UT_Responsável;Data_Início;Data_Fim;Documentos_Associados;Estado_Projeto;Observação;Projetos_especiais_prioritários;Ano;Criado por;Gestor_Projeto;Gestor_Projetos_Users;Eixo;Versão;Duração_Projeto;Modificado
2;21. Project Solaris;PR/014/2022;048/PlanAPP/2022;;;;;;;;;;;;;;;;;;;;
3;22. Operation Prometheus;PR/015/2022;067/PlanAPP/2022;;;"[""OE1"",""OE2"",""OE3"",""OE4""]";PRR;Financiadora;UTPRI;17/06/2022;15/06/2023;0;Concluído;;False;2022;João Pinto Dutra;Ana Sofia Figueiredo;Ana Sofia Figueiredo;Gestão e Melhoria Contínua;15.0;363;04/10/2023 03:19
1;23. Project Helios;PR/016/2022;081/PlanAPP/2022;;;;;;;;;;;;;;;;;;;;
8;24. Operation Orion;PR/017/2022;092/PlanAPP/2022;;;"[""OE1"",""OE2"",""OE3"",""OE4""]";PRR;Financiadora;UTGSIQ;03/08/2022;;0;Cancelado;;False;2022;João Pinto Dutra;César Rosa;César Rosa;;7.0;null;02/03/2023 02:07
24;25. Project Serenity;PR/018/2022;1002022;;;;;;;;;;;;;;;;;;;;
25;26. Operation Phoenix;PR/019/2022;;;;"[""OE2"",""OE3"",""OE4""]";INTERNO;;UTGCC;;;0;Concluído;;False;2022;João Pinto Dutra;Manuel Esteves;Manuel Esteves;Comunicação;10.0;null;02/03/2023 02:30
26;27. Project Elysium;PR/020/2022;;;;"[""OE1"",""OE2""]";INTERNO;;UTGCC;01/01/2022;30/04/2023;0;Suspenso;Foi suspenso porque as questões de conformidade com o RGPD alteraram demasiado os requisitos iniciais do projeto.;False;2022;João Pinto Dutra;Hugo Moreira;Hugo Moreira;Capacitação e recursos;13.0;484;19/07/2023 01:34
27;28. Operation Equinox;PR/021/2022;;;;;;;;;;;;;;;;;;;;;
28;29. Project Infinity;PR/022/2022;;;;"[""OE2"",""OE3"",""OE4""]";INTERNO;;UTGCC;;;0;Concluído;;False;2022;João Pinto Dutra;Ana Salvado;Ana Salvado;Monitorização e avaliação de PP;10.0;null;02/03/2023 02:31
29;30. Operation Genesis;PR/023/2022;;;;"[""OE1""]";INTERNO;;AE;01/11/2022;28/04/2023;0;Em Execução;O projeto esteve a aguardar  parecer favorável da CNPD entre 11 de junho e 21 de agosto de 2023 . Não tendo colhido parecer favorável, o projeto foi revisto e dividido em 2 fases. As atividades a realziar até 31 de outubro de 2023 dizem respeito à nova primeira fase do projeto.;True;2022;João Pinto Dutra;Pedro Mazeda Gil;Maria Oliveira Fernandes;Monitorização e avaliação de PP;21.0;178;26/09/2023 03:04
4;31. Project Ascend;PR/024/2022;392022;;;;;;;;;;;;;;;;;;;;
31;32. Operation Aurora;PR/025/2022;;;;"[""OE3""]";;;AE;;;0;Cancelado;;False;2022;João Pinto Dutra;Filipa Vala;Filipa Vala;;11.0;null;02/03/2023 02:11
34;33. Project Stellar;PR/026/2022;;;;"[""OE1"",""OE2"",""OE3"",""OE4""]";INTERNO;;UTAM;15/03/2022;31/12/2024;0;Em Execução;;False;2022;João Pinto Dutra;William de Melo;William de Melo;Monitorização e avaliação de PP;22.0;1 022;17/07/2023 08:10
35;34. Operation Celestial;PR/027/2022;;;;"[""OE2"",""OE1"",""OE3"",""OE4""]";INTERNO;;UTAM;01/02/2022;31/12/2023;0;Em Execução;;False;2022;João Pinto Dutra;João Veiga Lopes;João Veiga Lopes;Monitorização e avaliação de PP;19.0;698;17/07/2023 08:58
36;35. Project Quantum;PR/028/2022;;;;"[""OE1""]";INTERNO;;UTPP;01/02/2022;;0;Cancelado;;False;2022;João Pinto Dutra;Pedro Mazeda Gil;Pedro Mazeda Gil;;9.0;null;02/03/2023 02:12
37;36. Operation Pinnacle;PR/029/2022;;;;;;;;;;;;;;;;;;;;;
38;37. Project Zenith;PR/030/2022;;;;"[""OE1""]";INTERNO;;UTPP;30/08/2022;;0;Em Execução;;False;2022;João Pinto Dutra;Pedro Mazeda Gil;Pedro Mazeda Gil;Monitorização e avaliação de PP;15.0;null;02/03/2023 02:31
39;38. Operation Nebula;PR/031/2022;;;;;;;;;;;;;;;;;;;;;
40;39. Project Catalyst;PR/032/2022;;;;"[""OE1""]";INTERNO;;UTAIL;01/04/2022;;0;Em Execução;;False;2022;João Pinto Dutra;Vera Barros;;Avaliação de impacto legislativo;13.0;null;15/05/2023 09:39
41;40. Operation Eclipse;PR/033/2022;;;;;;;;;;;;;;;;;;;;;
42;41. Project Nebula;PR/034/2022;;;;"[""OE1""]";INTERNO;;UTAIL;01/05/2022;22/12/2022;0;Cancelado;;False;2022;João Pinto Dutra;Vera Barros;Vera Barros;Avaliação de impacto legislativo;13.0;235;23/05/2023 03:15
43;42. Operation Zenith;PR/035/2022;;;;"[""OE1""]";INTERNO;;UTAIL;01/01/2022;30/09/2022;0;Concluído;;False;2022;João Pinto Dutra;Luís Baltazar;Luís Baltazar;Avaliação de impacto legislativo;10.0;272;04/10/2023 03:19
44;43. Project Orion;PR/036/2022;;;;"[""OE1""]";INTERNO;;UTAIL;01/01/2022;;0;Em Execução;;False;2022;João Pinto Dutra;Vera Barros;;Avaliação de impacto legislativo;16.0;null;15/05/2023 09:39
45;44. Operation Prometheus;PR/037/2022;;;;"[""OE1""]";INTERNO;;UTAIL;01/07/2022;;0;Cancelado;;False;2022;João Pinto Dutra;Vera Barros;Vera Barros;Avaliação de impacto legislativo;11.0;null;02/03/2023 02:30
46;45. Project Zenith;PR/038/2022;;;;"[""OE1""]";INTERNO;;UTAIL;01/09/2022;30/06/2023;0;Em Execução;;False;2022;João Pinto Dutra;Vera Barros;Vera Barros;Avaliação de impacto legislativo;9.0;302;02/03/2023 02:30
47;46. Operation Stardust;PR/039/2022;;;;"[""OE1""]";INTERNO;;UTAIL;01/03/2022;30/04/2022;0;Concluído;;False;2022;João Pinto Dutra;Filipa Fernandes;;Monitorização e avaliação de PP;8.0;60;02/03/2023 02:31
48;47. Project Genesis;PR/040/2022;;;;"[""OE2""]";INTERNO;;UTPP;01/04/2022;22/12/2023;0;Em Execução;;False;2022;João Pinto Dutra;Pedro Mazeda Gil;Pedro Mazeda Gil;Ferramentas de análise e metodologias;16.0;630;27/10/2023 01:34
49;48. Operation Centauri;PR/041/2022;;;;"[""OE3""]";INTERNO;;AE;;;0;Em Execução;;False;2022;João Pinto Dutra;Luís Baltazar;Manuel Cabugueira;Avaliação de impacto legislativo;13.0;%23NULO!;26/10/2023 06:18
51;49. Project Aurora;PR/043/2022;;;;;;;;;;;;;;;;;;;;;
53;50. Operation Nebula;PR/044/2022;;;;;;;;;;;;;;;;;;;;;
54;51. Project Centauri;PR/045/2022;;;;;INTERNO;;UTGSIQ;24/01/2022;11/09/2022;0;Concluído;;False;2022;João Pinto Dutra;Matilde Catalão;Matilde Catalão;Capacitação e recursos;12.0;230;02/03/2023 02:30
55;52. Operation Eclipse;PR/046/2022;;;;;;;;;;;;;;;;;;;;;
56;53. Project Pinnacle;PR/047/2022;;;;;;;;;;;;;;;;;;;;;
52;54. Operation Zenith;PR/048/2022;;;;;PRR;;UTGSIQ;15/02/2022;30/09/2023;0;Em Conclusão;;False;2022;João Pinto Dutra;Ana Carolina Coutinho;Ana Carolina Coutinho;Gestão e Melhoria Contínua;16.0;592;26/10/2023 06:18
57;55. Project Solaris;PR/049/2022;;;;;INTERNO;;UTGCC;01/01/2022;15/03/2023;0;Em Execução;;False;2022;João Pinto Dutra;Ana Sofia Figueiredo;Ana Sofia Figueiredo;Gestão e Melhoria Contínua;16.0;438;02/03/2023 02:31
58;56. Operation Phoenix;PR/050/2022;;;;"[""OE3""]";INTERNO;;;01/06/2020;15/11/2022;0;Cancelado;;False;2022;João Pinto Dutra;Ana Sofia Figueiredo;Ana Sofia Figueiredo;;5.0;897;02/03/2023 02:14
89;57. Project Prometheus;PR/051/2022;;;;;PRR;;UTGSIQ;17/08/2022;31/12/2023;0;Em Execução;;False;2022;João Pinto Dutra;César Rosa;César Rosa;Sistemas de Informação e Tecnologia;7.0;501;26/09/2023 07:47
90;58. Operation Orion;PR/052/2022;;;;"[""OE2""]";OE;;;;;0;Em Preparação;;False;2022;João Pinto Dutra;Vera Barros;Vera Barros;Avaliação de impacto legislativo;7.0;null;02/03/2023 02:30
91;59. Project Elysium;PR/053/2022;;;;"[""OE2""]";INTERNO;;;01/02/2022;30/09/2023;0;Em Execução;;False;2022;João Pinto Dutra;Catarina Cristino Pereira;Catarina Cristino Pereira;Ferramentas de análise e metodologias;10.0;606;02/03/2023 02:31
92;60. Operation Genesis;PR/055/2022;;;;"[""OE1""]";INTERNO;;;01/05/2022;12/05/2023;0;Em Execução;;False;2022;João Pinto Dutra;Manuel Abrantes;Manuel Abrantes;Monitorização e avaliação de PP;8.0;376;02/03/2023 02:31
93;61. Project Infinity;PR/056/2022;;;;"[""OE1""]";INTERNO;;;01/09/2022;31/12/2022;0;Concluído;;False;2022;João Pinto Dutra;Catarina Cristino Pereira;Catarina Cristino Pereira;Monitorização e avaliação de PP;9.0;121;02/03/2023 02:31
95;62. Operation Aurora;PR/057/2022;;;;;INTERNO;;;14/09/2022;;0;Cancelado;;False;2022;João Pinto Dutra;Catarina Cristino Pereira;Catarina Cristino Pereira;Monitorização e avaliação de PP;6.0;null;02/03/2023 02:31
96;63. Project Zenith;PR/058/2022;;;;;INTERNO;;;01/10/2022;31/12/2024;0;Em Execução;;False;2022;João Pinto Dutra;Catarina Cristino Pereira;Catarina Cristino Pereira;Monitorização e avaliação de PP;9.0;822;02/03/2023 02:31
97;64. Operation Prometheus;PR/059/2022;;;;;INTERNO;;;01/02/2022;31/12/2022;0;Concluído;;False;2022;João Pinto Dutra;Catarina Cristino Pereira;Catarina Cristino Pereira;Monitorização e avaliação de PP;8.0;333;02/03/2023 02:31
98;65. Project Equinox;PR/060/2022;;;;"[""OE2""]";INTERNO;;;01/01/2022;30/11/2023;0;Em Execução;;False;2022;João Pinto Dutra;Mathias Eistrup;Mathias Eistrup;Monitorização e avaliação de PP;11.0;698;20/10/2023 06:03
99;66. Operation Phoenix;PR/061/2022;;;;"[""OE3""]";INTERNO;;;02/11/2022;31/08/2022;0;Concluído;;False;2022;João Pinto Dutra;Filipa Vala;Filipa Vala;Moldura Institucional do PlanAPP;10.0;%23Nome?;17/07/2023 08:56
100;67. Project Celestial;PR/063/2022;;;;;INTERNO;;;01/01/2022;30/05/2022;0;Cancelado;;False;2022;João Pinto Dutra;Ana Salvado;Ana Salvado;Monitorização e avaliação de PP;7.0;149;02/03/2023 02:31
101;68. Operation Centauri;PR/064/2022;;;;;PRR;;;21/02/2022;;0;Cancelado;;False;2022;João Pinto Dutra;Manuel Esteves;Manuel Esteves;Comunicação;6.0;null;02/03/2023 02:30
102;69. Project Serenity;PR/065/2022;;;;;;;;;;;;;;;;;;;;;
103;70. Operation Nebula;PR/066/2022;;;;;INTERNO;;;07/02/2022;01/03/2022;0;Concluído;;False;2022;João Pinto Dutra;Sofia Santos;Sofia Santos;Comunicação;8.0;22;02/10/2023 08:42
104;71. Project Apollo;PR/067/2022;;;;;INTERNO;;;25/07/2022;12/09/2022;0;Concluído;;False;2022;João Pinto Dutra;Sabina Pereira;Sabina Pereira;Comunicação;7.0;49;18/10/2023 03:24
105;72. Operation Genesis;PR/068/2022;;;;;INTERNO;;;01/03/2022;;0;Cancelado;;False;2022;João Pinto Dutra;João Ferreira Palhau;João  Ferreira Palhau;Ferramentas de análise e metodologias;6.0;null;02/03/2023 02:31
106;73. Project Ascend;PR/069/2022;;;;;INTERNO;;;02/01/2022;15/05/2022;0;Cancelado;;False;2022;João Pinto Dutra;Alice Lourenço;Alice Lourenço;Capacitação e recursos;6.0;133;02/03/2023 02:30
107;74. Operation Aurora;PR/070/2022;;;;;INTERNO;;;01/04/2022;30/09/2022;0;Concluído;;False;2022;João Pinto Dutra;Alice Lourenço;Alice Lourenço;Capacitação e recursos;5.0;182;02/03/2023 02:30
108;75. Project Stellar;PR/071/2022;;;;"[""OE1""]";INTERNO;;;;;0;Concluído;;False;2022;João Pinto Dutra;Francisco Furtado;Francisco Furtado;Planeamento de PP;6.0;null;07/03/2023 03:59
109;76. Operation Celestial;PR/072/2022;;;;"[""OE1""]";INTERNO;;;;;0;Concluído;;False;2022;João Pinto Dutra;Francisco Furtado;Francisco Furtado;Planeamento de PP;7.0;null;06/03/2023 07:01
110;77. Project Quantum;PR/073/2022;;;;;;;;;;;;;;;;;;;;;
111;78. Operation Pinnacle;PR/074/2022;;;;"[""OE1""]";INTERNO;;;01/04/2022;30/10/2023;0;Em Execução;;False;2022;João Pinto Dutra;Monica Isfan;Monica Isfan;Prospetiva;12.0;577;12/07/2023 01:26
112;79. Project Zenith;PR/075/2022;;;;;;;;;;;;;;;;;;;;;
113;80. Operation Nebula;PR/076/2022;;;;;;;;25/11/2022;29/04/2023;0;Concluído;;False;2022;João Pinto Dutra;Pedro Mazeda Gil;Pedro Mazeda Gil;Planeamento de PP;11.0;155;08/09/2023 01:59
114;81. Project Catalyst;PR/077/2022;;;;;;;;;;0;Em Preparação;;True;2022;João Pinto Dutra;Ana Sofia Figueiredo;Ana Sofia Figueiredo;Capacitação e recursos;8.0;%23NULO!;25/09/2023 07:11
115;82. Operation Eclipse;PR/078/2022;;;;;INTERNO;;;;;0;Em Execução;;False;2022;João Pinto Dutra;Ana Sofia Figueiredo;Ana Sofia Figueiredo;Gestão e Melhoria Contínua;7.0;null;02/03/2023 02:31
116;83. Project Nebula;PR/079/2022;Documento tal tal etal ;;999999;;PRR;;;01/03/2023;30/11/2023;0;Em Preparação;;False;2022;João Pinto Dutra;Ana Lacerda Pinto;Ana Lacerda Pinto;Gestão e Melhoria Contínua;23.0;274;24/05/2023 08:00
120;84. Operation Zenith;PR/081/2022;;;;;;;;02/01/2022;31/03/2023;0;Em Execução;;False;2022;João Pinto Dutra;Hugo Moreira;Hugo Moreira;Comunicação;5.0;453;02/03/2023 02:30
121;85. Project Orion;PR/082/2022;;;;;;;;;;;;;;;;;;;;;
122;86. Operation Prometheus;PR/083/2022;;;;;;;;;;;;;;;;;;;;;
123;87. Project Zenith;PR/084/2022;;;;;;;;15/05/2022;31/12/2025;0;Em Execução;Este projecto encontra-se associado aos seguintes projectos: ;;;;;;;;;
